iso3alpha,cowccode,iso3numeric,yearbegin,yearend,location,locationISO,expectation,illtreatment,it_cert,unstated,scarring,stealth,death,magnitude,om_cert,numbervictims,vtcriminal,vtdissident,vtmarginalized,vtstateagent,vtpow,vtunst,vt_cert,aocpolice,aocprison,aocmilitary,aocimmigrationdetention,aocintelligence,aocparamilitary,aocunst,aoc_cert,formalcomplaint,investigation,investoutcome,adjlocationintlcourt,adjlocationdomcourt,adjudicationoutcome,adjout_cert,transborder,destination,destinationISO,dest_cert,codernum,RstrctAccess
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,No,10-99,B,Not Zero,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,Yes,No,1-9,A,1,No,No,No,No,No,Yes,A,No,Yes,No,No,No,No,No,B,Unknown,Unknown,,,,,,Not Transborder,,,,12,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,Yes,Yes,No,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Administrative Sanction,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,100-999,A,400,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Unknown,A,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,Yes,Yes,No,1-9,A,36,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,Yes,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Dismissal from Employment,,,,,Not Transborder,,,,4,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,100-999,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,No,Not Zero,A,Not Zero,No,No,Yes,No,No,No,B,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Outside National Borders,392,No,Yes,A,No,Yes,No,No,1-9,A,1,No,No,Yes,No,No,No,A,No,No,Yes,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,Yes,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Pending,A,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,1-9,A,1,Yes,No,Yes,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Unknown,B,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,No,1-9,A,1,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,Yes,Yes,1-9,B,Not Zero,Yes,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,None,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,10-99,A,Not Zero,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Compensation,A,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,Yes,No,1-9,A,1,Yes,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,No,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,Yes,No,No,1-9,A,1,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Administrative Sanction,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,1-9,A,1,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,Yes,No,No,No,B,No,Yes,No,No,No,No,No,A,Yes,Yes,Legislation/Institution Creation,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,1000-9999,A,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Yes,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Outside National Borders,356,No,Yes,A,No,No,No,No,1-9,A,1,No,No,No,No,No,Yes,A,No,No,No,Yes,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,17,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,Yes,No,1-9,A,1,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,No,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Compensation,A,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,Yes,1-9,A,2,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,13,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,1-9,A,2,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,1-9,A,1,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,10-99,A,48,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,Yes,1-9,B,Not Zero,Yes,No,No,No,No,No,B,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,1000-9999,A,Not Zero,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Unknown,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,100-999,A,Not Zero,No,No,No,No,No,Yes,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,2,1-9,A,1,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Unknown,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,Yes,Not Zero,A,Not Zero,Yes,No,No,No,No,No,B,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,Yes,Yes,No,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Acquittal,A,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,10-99,A,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,10-99,A,90,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,No,1-9,A,1,No,Yes,No,No,No,No,B,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,No,10-99,A,Not Zero,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,Yes,1-9,A,1,No,No,No,Yes,No,No,A,No,No,No,No,No,No,Yes,A,Unknown,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,Yes,1-9,A,1,Yes,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Pending,A,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,Yes,No,No,No,Not Zero,A,Not Zero,No,No,No,No,No,Yes,A,Yes,Yes,No,No,No,No,No,A,Yes,Yes,Unknown,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,No,10-99,A,Not Zero,Yes,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,Yes,Yes,No,No,1-9,A,Not Zero,No,Yes,No,No,No,No,B,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,Yes,No,1-9,A,1,Yes,No,Yes,No,No,No,A,Yes,Yes,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Compensation,B,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,13,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Unknown,A,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,Yes,No,No,10-99,C,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Pending,A,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,Yes,1-9,A,1,Yes,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Unknown,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,Yes,10-99,B,Not Zero,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,23,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,No,Not Zero,A,Not Zero,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,23,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,1000-9999,A,Not Zero,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Compensation,A,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,Yes,No,Yes,1-9,A,1,Yes,Yes,Yes,No,No,No,B,No,Yes,No,No,No,No,No,B,Unknown,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,No,1-9,A,1,No,No,No,No,No,Yes,A,No,Yes,No,No,No,No,No,B,Unknown,Unknown,,,,,,Not Transborder,,,,12,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,1-9,A,2,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Outside National Borders,2,No,No,A,No,No,No,No,1000-9999,A,Not Zero,Yes,No,Yes,No,No,No,A,No,No,No,No,No,No,Yes,A,Unknown,Unknown,,,,,,Refoulment,Country of Origin,332,A,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,No,1-9,A,1,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Unknown,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,Yes,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,Yes,1-9,B,Not Zero,Yes,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,None,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,Yes,Yes,1-9,A,1,Yes,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Unknown,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,Yes,1-9,B,Not Zero,Yes,No,No,No,No,No,B,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,Yes,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Conviction or Plea,A,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,1-9,B,Not Zero,No,Yes,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,No,100-999,A,Not Zero,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Conviction or Plea,A,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,No,10-99,A,90,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,Yes,Yes,1-9,A,1,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,None,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1996,Inside National Borders,,No,No,A,No,Yes,Yes,No,10-99,A,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1996,Inside National Borders,,No,No,A,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,Yes,No,No,No,B,No,Yes,No,No,No,No,No,A,Yes,Yes,Legislation/Institution Creation,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1996,Inside National Borders,,No,Yes,A,No,No,No,No,Not Zero,A,Not Zero,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,No,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1996,Inside National Borders,,No,Yes,B,No,No,Yes,No,1-9,A,1,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1996,Inside National Borders,,No,Yes,B,No,No,No,No,100-999,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1996,Inside National Borders,,No,No,A,No,No,Yes,No,1-9,A,9,Yes,No,No,No,No,No,B,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1996,Inside National Borders,,No,No,A,No,No,Yes,Yes,1-9,B,Not Zero,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1996,Inside National Borders,,No,Yes,A,No,Yes,No,No,10-99,A,Not Zero,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1996,Inside National Borders,,No,Yes,B,No,No,No,No,100-999,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1996,Inside National Borders,,No,Yes,A,No,No,No,No,Not Zero,A,Not Zero,No,No,No,No,No,Yes,A,Yes,No,No,No,No,No,No,A,Yes,No,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1997,Inside National Borders,,No,No,A,No,No,Yes,No,100-999,B,Not Zero,Yes,No,Yes,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Conviction or Plea,C,Not Transborder,,,,18,Yes
USA,2,840,1995,1997,Inside National Borders,,No,Yes,B,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Conviction or Plea,A,Not Transborder,,,,18,Yes
USA,2,840,1995,1997,Inside National Borders,,No,No,A,No,No,Yes,Yes,10-99,A,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Legislation/Institution Creation,No,Yes,Compensation,B,Not Transborder,,,,26,Yes
USA,2,840,1995,1997,Inside National Borders,,No,No,A,No,No,Yes,No,100-999,C,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1997,Inside National Borders,,No,Yes,A,No,No,No,No,1-9,A,1,Yes,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,12,Yes
USA,2,840,1995,1998,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1998,Inside National Borders,,No,No,A,No,No,Yes,Yes,1-9,B,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1998,Inside National Borders,,No,Yes,A,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1998,Inside National Borders,,No,No,A,No,No,Yes,No,1-9,A,1,Yes,No,No,No,No,No,A,No,No,No,No,No,No,Yes,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1998,Inside National Borders,,No,Yes,B,No,No,Yes,No,1-9,A,1,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1998,Inside National Borders,,No,No,A,No,No,Yes,No,10-99,A,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1998,Inside National Borders,,No,No,A,Yes,No,Yes,No,1-9,B,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1998,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1998,Inside National Borders,,No,No,A,No,No,Yes,No,10-99,A,60,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1998,Inside National Borders,,No,Yes,B,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1998,Inside National Borders,,No,No,A,No,Yes,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1998,Inside National Borders,,No,Yes,B,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,Yes,B,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Legislation/Institution Creation,No,Yes,Pending,B,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,No,A,No,Yes,No,No,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,Yes,A,No,No,No,Yes,Not Zero,A,Not Zero,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,17,Yes
USA,2,840,1996,1996,Inside National Borders,,No,No,A,No,Yes,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,Yes,A,No,No,Yes,No,1-9,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,No,A,No,Yes,No,No,10-99,A,Not Zero,No,Yes,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,Yes,B,No,No,No,No,100-999,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,Yes,A,No,Yes,Yes,No,Not Zero,A,Not Zero,Yes,No,Yes,No,No,No,B,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,Yes,B,No,No,No,No,10-99,B,Not Zero,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,No,A,No,Yes,No,No,1-9,A,3,Yes,No,Yes,No,No,No,A,No,No,No,Yes,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,Yes,A,No,No,No,No,1-9,A,1,Yes,No,Yes,No,No,No,C,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1996,1996,Inside National Borders,,No,No,A,No,Yes,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Unknown,B,Not Transborder,,,,12,Yes
